,address,type,balance
0,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,10555500000000
1,12WmWuSQCgpEkPQTZ4ABijQaz6TCV69ZpE,pubkeyhash,10525888000000
2,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,7995600100000
3,1PUR3qV3zKcGYXDhmT8o7ekCJP7hnSGzwj,pubkeyhash,5500001000000
4,1LnyAwAn3QYQrte5eykMR29k6CkhTu4m4W,pubkeyhash,5286360524842
5,1DEpjpftLbsGiCJvJDp2F2quVRnymV8U5Q,pubkeyhash,5000000000000
6,1P3S1grZYmcqYDuaEDVDYobJ5Fx85E9fE9,pubkeyhash,5000000000000
7,13vJZKHKBirruXwmjMaRtakzPQRRHQit1S,pubkeyhash,4972966980000
8,18k36TNi1qYDv44KqfZ6ofokEMJYzmQgbZ,pubkeyhash,4916725000000
9,16tJXD8UqL1z3o7GV5XBcoEDeGKJ9pm9Qk,pubkeyhash,4895797000000
10,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,pubkey,4877673411310
11,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,4274894000000
12,1cXNTyXj4xPGopfYZNY5xfSM1EPJJvBZV,pubkeyhash,4000000000000
13,12HddUDLhRP2F8JjpKYeKaDxxt5wUvx5nq,pubkeyhash,4000000000000
14,16Ls6azc76ixc9Ny7AB5ZPPq6oiEL9XwXy,pubkeyhash,4000000000000
15,1FngtAcZsLfK89MNe7TqzyqVtSype8TiVD,pubkeyhash,3805708507373
16,18Hsgq92AUB1PYLU6MUMQXiwdebaDRo9oQ,pubkeyhash,3800000000000
17,1HCnKPouxZkwyez9nDUMr4RcgHEs4mqqsx,pubkeyhash,3499539000000
18,1MyGwFAJjVtB5rGJa32M6Yh46cGirUta1K,pubkeyhash,2999999000000
19,1E6mijNx2xKzRt6KXiqZncUmybgYN4cn2X,pubkeyhash,2985477000000
20,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,2324900000000
21,16rfUGQTa5WnigGjKqUAz7M8LdroRzMAU2,pubkeyhash,2190098000000
22,16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,pubkeyhash,2030000000000
23,13Zv3za7BkWJZ3SGJ5wiV5gR4k96GYumZe,pubkeyhash,2000000000000
24,12W9reeAnLN2WaDkc3B3qcf4xLSANoQCEh,pubkeyhash,1997662234568
25,17dxkE9UQ2Q188XfJ4ekpKJn33vSrApNfK,pubkeyhash,1748418486148
26,12uHQUnvPujBE21oxfRVz7dMpVkPfHoefo,pubkeyhash,1700010000000
27,18A74qXB5y7z17RhJdR74xr1gurfEVxTFB,pubkeyhash,1500000000000
28,19UzkDeJoMyewM3jgxb6LSRrhkGhq3hU4D,pubkeyhash,1500000000000
29,1CnpeNmG8uw5e9PHtJSnqAbaauZhahUGqc,pubkeyhash,1487499980000
30,1A6GpGtUEstGWE3kfRHLWvQfRkxbcaFP1b,pubkeyhash,1444215502252
